2025-08-23;18:59:21.475704;[0] PIN;Проигнорировано
2025-08-23;18:59:23.301306;[1] PIN;2025-08-23;18:59:23.646423;[0/1] PONG (1)

2025-08-23;18:59:26.278461;[2] PIN;2025-08-23;18:59:26.528499;[2/2] PONG (1)

2025-08-23;18:59:27.032070;[3] PIN;2025-08-23;18:59:27.775003;[3/3] PONG (1)

2025-08-23;18:59:28.041499;[4] PIN;2025-08-23;18:59:28.243737;[4/4] PONG (1)

2025-08-23;18:59:30.273638;[5] PIN;2025-08-23;18:59:31.078631;[6/5] PONG (1)

2025-08-23;18:59:31.140629;[6] PIN;2025-08-23;18:59:31.710639;[7/6] PONG (1)

2025-08-23;18:59:32.272632;[7] PIN;2025-08-23;18:59:32.492635;[8/7] PONG (1)

2025-08-23;18:59:33.151644;[0] PIN;2025-08-23;18:59:34.146644;[9/0] PONG (2)

2025-08-23;18:59:33.814649;[8] PIN;2025-08-23;18:59:34.257639;[10/8] PONG (1)

2025-08-23;18:59:34.542630;[9] PIN;2025-08-23;18:59:35.424970;[12/9] PONG (1)

2025-08-23;18:59:35.661971;[1] PIN;2025-08-23;18:59:36.214970;[13/1] PONG (2)

2025-08-23;18:59:36.419970;[10] PIN;2025-08-23;18:59:36.875970;[14/10] PONG (1)

2025-08-23;18:59:36.906971;[2] PIN;Проигнорировано
2025-08-23;18:59:39.169970;[3] PIN;Проигнорировано
2025-08-23;18:59:39.153972;[11] PIN;2025-08-23;18:59:39.688970;[16/11] PONG (1)

2025-08-23;18:59:39.895969;[12] PIN;2025-08-23;18:59:40.778972;[17/12] PONG (1)

2025-08-23;18:59:40.779974;[13] PIN;2025-08-23;18:59:41.440970;[18/13] PONG (1)

2025-08-23;18:59:42.162971;[4] PIN;2025-08-23;18:59:42.415970;[19/4] PONG (2)

2025-08-23;18:59:43.015969;[5] PIN;2025-08-23;18:59:43.270970;[20/5] PONG (2)

2025-08-23;18:59:42.937970;[14] PIN;2025-08-23;18:59:43.840970;[21/14] PONG (1)

2025-08-23;18:59:45.122970;[15] PIN;2025-08-23;18:59:45.897971;[23/15] PONG (1)

2025-08-23;18:59:45.360970;[6] PIN;2025-08-23;18:59:46.212970;[24/6] PONG (2)

2025-08-23;18:59:45.898974;[16] PIN;2025-08-23;18:59:46.845036;[25/16] PONG (1)

2025-08-23;18:59:47.223997;[17] PIN;2025-08-23;18:59:47.488854;[26/17] PONG (1)

2025-08-23;18:59:47.822851;[7] PIN;2025-08-23;18:59:48.298853;[27/7] PONG (2)

2025-08-23;18:59:49.423428;[8] PIN;2025-08-23;18:59:50.032179;[29/8] PONG (2)

2025-08-23;18:59:50.190445;[18] PIN;2025-08-23;18:59:51.008771;[30/18] PONG (1)

2025-08-23;18:59:51.912456;[9] PIN;2025-08-23;18:59:52.643846;[31/9] PONG (2)

2025-08-23;18:59:52.751931;[19] PIN;2025-08-23;18:59:53.392353;[32/19] PONG (1)

2025-08-23;18:59:54.349226;[10] PIN;2025-08-23;18:59:55.078034;[34/10] PONG (2)

2025-08-23;18:59:54.870029;[20] PIN;2025-08-23;18:59:55.283029;[35/20] PONG (1)

2025-08-23;18:59:55.140033;[11] PIN;2025-08-23;18:59:55.518850;[36/11] PONG (2)

2025-08-23;18:59:56.468566;[12] PIN;2025-08-23;18:59:57.235945;[37/12] PONG (2)

2025-08-23;18:59:57.750803;[21] PIN;2025-08-23;18:59:58.075135;[38/21] PONG (1)

2025-08-23;18:59:58.699203;[13] PIN;2025-08-23;18:59:59.307755;[39/13] PONG (2)

2025-08-23;18:59:59.620088;[14] PIN;2025-08-23;18:59:59.760784;[41/14] PONG (2)

2025-08-23;18:59:59.557358;[22] PIN;2025-08-23;18:59:59.808096;[42/22] PONG (1)

2025-08-23;19:00:00.276120;[15] PIN;2025-08-23;19:00:00.773608;[43/15] PONG (2)

2025-08-23;19:00:00.959957;[23] PIN;2025-08-23;19:00:01.427885;[44/23] PONG (1)

2025-08-23;19:00:01.428874;[24] PIN;2025-08-23;19:00:01.569869;[45/24] PONG (1)

2025-08-23;19:00:02.225446;[16] PIN;2025-08-23;19:00:02.428769;[46/16] PONG (2)

2025-08-23;19:00:02.162804;[25] PIN;2025-08-23;19:00:02.507851;[47/25] PONG (1)

2025-08-23;19:00:03.851558;[17] PIN;2025-08-23;19:00:04.026573;[48/17] PONG (2)

2025-08-23;19:00:04.339344;[26] PIN;2025-08-23;19:00:04.619066;[50/26] PONG (1)

2025-08-23;19:00:04.371227;[18] PIN;2025-08-23;19:00:04.712399;[51/18] PONG (2)

2025-08-23;19:00:05.388164;[19] PIN;2025-08-23;19:00:05.872986;[52/19] PONG (2)

2025-08-23;19:00:06.574216;[27] PIN;2025-08-23;19:00:06.716416;[53/27] PONG (1)

2025-08-23;19:00:07.153663;[28] PIN;2025-08-23;19:00:07.482098;[54/28] PONG (1)

2025-08-23;19:00:07.310369;[20] PIN;2025-08-23;19:00:07.623958;[55/20] PONG (2)

2025-08-23;19:00:07.797938;[21] PIN;2025-08-23;19:00:07.953553;[56/21] PONG (2)

2025-08-23;19:00:09.488447;[29] PIN;Проигнорировано
2025-08-23;19:00:10.388543;[22] PIN;2025-08-23;19:00:10.686247;[58/22] PONG (2)

2025-08-23;19:00:10.151426;[30] PIN;2025-08-23;19:00:12.101757;[59/30] PONG (1)

2025-08-23;19:00:12.103743;[31] PIN;2025-08-23;19:00:13.144043;[60/31] PONG (1)

2025-08-23;19:00:13.151108;[32] PIN;2025-08-23;19:00:13.658862;[61/32] PONG (1)

2025-08-23;19:00:13.151108;[23] PIN;2025-08-23;19:00:14.080440;[62/23] PONG (2)

2025-08-23;19:00:14.298978;[24] PIN;2025-08-23;19:00:14.530009;[63/24] PONG (2)

2025-08-23;19:00:16.117788;[33] PIN;2025-08-23;19:00:16.601177;[65/33] PONG (1)

2025-08-23;19:00:17.133788;[25] PIN;2025-08-23;19:00:17.289147;[66/25] PONG (2)

2025-08-23;19:00:17.690434;[34] PIN;2025-08-23;19:00:18.254714;[67/34] PONG (1)

2025-08-23;19:00:18.986372;[35] PIN;2025-08-23;19:00:19.641718;[68/35] PONG (1)

2025-08-23;19:00:19.203520;[26] PIN;2025-08-23;19:00:19.682337;[69/26] PONG (2)

2025-08-23;19:00:20.893130;[27] PIN;2025-08-23;19:00:21.190207;[71/27] PONG (2)

2025-08-23;19:00:21.080003;[36] PIN;2025-08-23;19:00:21.940773;[72/36] PONG (1)

2025-08-23;19:00:23.812552;[28] PIN;2025-08-23;19:00:23.968835;[73/28] PONG (2)

2025-08-23;19:00:24.657792;[37] PIN;2025-08-23;19:00:24.829043;[74/37] PONG (1)

2025-08-23;19:00:25.591662;[29] PIN;2025-08-23;19:00:26.387229;[76/29] PONG (2)

